Time,temperature,relative_humidity,sea_surface_temperature
1/1/2025 0:00,-4.8,75,6.4
1/1/2025 1:00,-4.8,75,6.4
1/1/2025 2:00,-4.8,75,6.4
1/1/2025 3:00,-4.8,75,6.4
1/1/2025 4:00,-4.8,75,6.4
1/1/2025 5:00,-4.8,75,6.4
1/1/2025 6:00,-4.8,75,6.4
1/1/2025 7:00,-4.8,75,6.4
1/1/2025 8:00,-4.8,75,6.4
1/1/2025 9:00,-4.8,75,6.4
1/1/2025 10:00,-4.8,75,6.4
1/1/2025 11:00,-4.8,75,6.4
1/1/2025 12:00,-4.8,75,6.4
1/1/2025 13:00,-4.8,75,6.4
1/1/2025 14:00,-4.8,75,6.4
1/1/2025 15:00,-5.6,75,6.4
1/1/2025 16:00,-6.2,76,6.4
1/1/2025 17:00,-6.8,76,6.4
1/1/2025 18:00,-8.6,78,6.4
1/1/2025 19:00,-9.7,78,6.4
1/1/2025 20:00,-9.6,75,6.4
1/1/2025 21:00,-7.7,81.5,6.65
1/1/2025 22:00,-7.4,78,6.6
1/1/2025 23:00,-7.35,82,6.65
1/2/2025 0:00,-6.7,76,6.65
1/2/2025 1:00,-5.15,83.5,6.65
1/2/2025 2:00,-4.6,80,6.65
1/2/2025 3:00,-3.15,82,6.7
1/2/2025 4:00,-2.95,82.5,6.7
1/2/2025 5:00,-2.6,76,6.7
1/2/2025 6:00,-2.75,77,6.7
1/2/2025 7:00,-2.55,77,6.7
1/2/2025 8:00,-2.6,75.5,6.7
1/2/2025 9:00,-1.5,71,7.1
1/2/2025 10:00,-1.9,67,7.1
1/2/2025 11:00,-2.2,63,7.1
1/2/2025 12:00,-2.9,69,7.1
1/2/2025 13:00,-3.1,70,7.1
1/2/2025 14:00,-2.7,67,7.1
1/2/2025 15:00,-2.4,65,7
1/2/2025 16:00,-2.7,66,7
1/2/2025 17:00,-3.2,71,7
1/2/2025 18:00,-3.3,69,7
1/2/2025 19:00,-3.4,70,7
1/2/2025 20:00,-3.4,70,7
1/2/2025 21:00,-4.8,74,5.5
1/2/2025 22:00,-4.85,73,5.55
1/2/2025 23:00,-4.6,71,5.55
1/3/2025 0:00,-4.1,70.5,5.55
1/3/2025 1:00,-3.2,72,5.55
1/3/2025 2:00,-2.3,63,5.55
1/3/2025 3:00,-1.05,64,5.55
1/3/2025 4:00,0,69,5.5
1/3/2025 5:00,-2.7,68.5,5.5
1/3/2025 6:00,-2.1,72,5.5
1/3/2025 7:00,-2,71.5,5.5
1/3/2025 8:00,-2.3,72,5.5
1/3/2025 9:00,-3.2,75,5.5
1/3/2025 10:00,-6.9,66,3.8
1/3/2025 11:00,-6.1,73,3.8
1/3/2025 12:00,-8.1,73,3.8
1/3/2025 13:00,-7.7,75,3.8
1/3/2025 14:00,-5.25,79.5,2.9
1/3/2025 15:00,-6.1,79.5,2.9
1/3/2025 16:00,-6.3,74.5,2.9
1/3/2025 17:00,-6.6,62,2.9
1/3/2025 18:00,-6.35,61.5,2.9
1/3/2025 19:00,-6.5,61,2.9
1/3/2025 20:00,-5.5,64,2.9
1/3/2025 21:00,-4.1,67.5,2.85
1/3/2025 22:00,-3.9,66,2.85
1/3/2025 23:00,-3.6,65,2.85
1/4/2025 0:00,-3.35,66,2.85
1/4/2025 1:00,-3.65,75.5,2.85
1/4/2025 2:00,-3.4,78.5,2.8
1/4/2025 3:00,-3.6,78,2.8
1/4/2025 4:00,-4.05,78,2.8
1/4/2025 5:00,-4.05,77,2.75
1/4/2025 6:00,-4,76.5,2.7
1/4/2025 7:00,-3.7,81.5,2.7
1/4/2025 8:00,-3.65,75.5,2.7
1/4/2025 9:00,-3.9,68.5,2.65
1/4/2025 10:00,-4.05,65.5,2.55
1/4/2025 11:00,-3.8,64.5,2.55
1/4/2025 12:00,-4.2,62,2.55
1/4/2025 13:00,-4.5,77,1.8
1/4/2025 14:00,-4.4,74,1.8
1/4/2025 15:00,-4.4,72,1.8
1/4/2025 16:00,-8.55,84,0.25
1/4/2025 17:00,-8.6,85.5,0.25
1/4/2025 18:00,-8.5,85.5,0.25
1/4/2025 19:00,-8.2,85,0.25
1/4/2025 20:00,-8.7,85,0.25
1/4/2025 21:00,-8.8,83.5,0.2
1/4/2025 22:00,-9.2,83.5,0.2
1/4/2025 23:00,-9.4,83,0.2
1/5/2025 0:00,-9.5,81,0.2
1/5/2025 1:00,-9.2,82.5,0.2
1/5/2025 2:00,-9.4,82,0.2
1/5/2025 3:00,-9.55,81.5,0.2
1/5/2025 4:00,-9.9,82,0.25
1/5/2025 5:00,-10.3,81.5,0.25
1/5/2025 6:00,-10.65,80.5,0.25
1/5/2025 7:00,-10.75,79,0.25
1/5/2025 8:00,-11.1,80.5,0.25
1/5/2025 9:00,-11.1,80,0.25
1/5/2025 10:00,-10.95,80.5,0.25
1/5/2025 11:00,-10.2,80.5,0.3
1/5/2025 12:00,-9.05,82.5,0.3
1/5/2025 13:00,-10.6,83,0.3
1/5/2025 14:00,-11.4,90,-1.3
1/5/2025 15:00,-10.7,87,-1.3
1/5/2025 16:00,-10.4,90,-1.2
1/5/2025 17:00,-9.7,91,-1.2
1/5/2025 18:00,-9.1,90,-1.2
1/5/2025 19:00,-5.8,87.5,1.65
1/5/2025 20:00,-5.35,85,1.65
1/5/2025 21:00,-5.6,86.5,1.7
1/5/2025 22:00,-5.6,87,1.7
1/5/2025 23:00,-5.1,82.5,1.7
1/6/2025 0:00,-5.2,81.5,1.7
1/6/2025 1:00,-4.45,84,1.7
1/6/2025 2:00,-4.35,81.5,1.7
1/6/2025 3:00,-4.6,78.5,1.7
1/6/2025 4:00,-4.9,82.5,1.7
1/6/2025 5:00,-4.95,86.5,1.7
1/6/2025 6:00,-5.3,85,1.7
1/6/2025 7:00,-5.35,83.5,1.7
1/6/2025 8:00,-5.4,83.5,1.7
1/6/2025 9:00,-5.9,83.5,1.75
1/6/2025 10:00,-6.45,84,1.75
1/6/2025 11:00,-5.8,79,4.5
1/6/2025 12:00,-6.1,80,4.5
1/6/2025 13:00,-5.4,85,4.5
1/6/2025 14:00,-5.3,86,4.5
1/6/2025 15:00,-5.3,87,4.5
1/6/2025 16:00,-10.7,88,4
1/6/2025 17:00,-9.9,82.5,4
1/6/2025 18:00,-10.2,81,4
1/6/2025 19:00,-9.5,80,4
1/6/2025 20:00,-9.2,81.5,4
1/6/2025 21:00,-9.45,83,4
1/6/2025 22:00,-9.5,83.5,4
1/6/2025 23:00,-9.85,82,4.05
1/7/2025 0:00,-9.7,83,4.05
1/7/2025 1:00,-12.25,87.5,4.05
1/7/2025 2:00,-11.65,82.5,4.05
1/7/2025 3:00,-11.25,83,4.15
1/7/2025 4:00,-10.9,83.5,4.15
1/7/2025 5:00,-10.9,83,4.15
1/7/2025 6:00,-10.9,83.5,4.15
1/7/2025 7:00,-17.4,88,3.6
1/7/2025 8:00,-17.6,88,3.6
1/7/2025 9:00,-17.4,88,3.6
1/7/2025 10:00,-17.5,87,3.6
1/7/2025 11:00,-17.8,87,3.6
1/7/2025 12:00,-18.4,88,3.6
1/7/2025 13:00,-21.5,85,3.6
1/7/2025 14:00,-14.15,84.5,4.15
1/7/2025 15:00,-13.95,87.5,4.15
1/7/2025 16:00,-13.85,88,4.2
1/7/2025 17:00,-14.1,86.5,4.25
1/7/2025 18:00,-13.9,88.5,4.25
1/7/2025 19:00,-13.8,88.5,4.25
1/7/2025 20:00,-13.05,89,4.25
1/7/2025 21:00,-12.5,89.5,4.25
1/7/2025 22:00,-12.2,89.5,4.25
1/7/2025 23:00,-12.35,89,4.25
1/8/2025 0:00,-11.5,86,4.25
1/8/2025 1:00,-11.6,85,4.25
1/8/2025 2:00,-11.8,86.5,4.25
1/8/2025 3:00,-11.95,87,4.25
1/8/2025 4:00,-12.8,89.5,4.3
1/8/2025 5:00,-13.65,90,4.3
1/8/2025 6:00,-8.8,90,4.9
1/8/2025 7:00,-8.9,89,4.9
1/8/2025 8:00,-9.5,91,5
1/8/2025 9:00,-12.7,82.5,2.1
1/8/2025 10:00,-12.85,79,2.15
1/8/2025 11:00,-13.1,80.5,2.15
1/8/2025 12:00,-13.1,80,2.15
1/8/2025 13:00,-12.6,82,2.15
1/8/2025 14:00,-12.35,81,2.15
1/8/2025 15:00,-11.55,80,2.15
1/8/2025 16:00,-11.35,80,2.1
1/8/2025 17:00,-11.15,80.5,2.1
1/8/2025 18:00,-11.3,81.5,2.1
1/8/2025 19:00,-11.1,83,2.1
1/8/2025 20:00,-11.05,84,2.05
1/8/2025 21:00,-11,84.5,2.05
1/8/2025 22:00,-10.95,84,2.05
1/8/2025 23:00,-11.8,81,-0.9
1/9/2025 0:00,-11.4,80,-0.9
1/9/2025 1:00,-9.9,83,-1
1/9/2025 2:00,-9.8,83,-1
1/9/2025 2:00,-8.45,85.5,2.55
1/9/2025 2:00,-8.45,85.5,2.55
1/9/2025 2:00,-7.1,88,6.1
1/9/2025 2:00,-7.1,88,6.1
1/9/2025 2:00,-8.1,78.5,5.1
1/9/2025 3:00,-7.95,78,5.15
1/9/2025 4:00,-7.85,79,5.15
1/9/2025 5:00,-7.75,79.5,5.2
1/9/2025 6:00,-7.6,80.5,5.2
1/9/2025 7:00,-7.55,81.5,5.25
1/9/2025 8:00,-7.35,82,5.25
1/9/2025 9:00,-7.15,82,5.3
1/9/2025 10:00,-7.05,83,5.35
1/9/2025 11:00,-6.8,83,5.3
1/9/2025 12:00,-6.5,83,5.35
1/9/2025 13:00,-6.4,85,5.35
1/9/2025 14:00,-6.45,84.5,5.3
1/9/2025 15:00,-6.45,84.5,5.35
1/9/2025 16:00,-6.3,84.5,5.35
1/9/2025 17:00,-6.3,84.5,5.35
1/9/2025 18:00,-6.25,85,5.35
1/9/2025 19:00,-5.85,83.5,5.35
1/9/2025 20:00,-6.45,83.5,5.35
1/9/2025 21:00,-6.3,82.5,5.35
1/9/2025 22:00,-5.85,82.5,5.35
1/9/2025 23:00,-5.5,83,5.35
1/10/2025 0:00,-5.5,84.5,5.35
1/10/2025 1:00,-6.6,84,5.35
1/10/2025 2:00,-6.65,84.5,5.4
1/10/2025 3:00,-8.6,81,5
1/10/2025 4:00,-8.2,80,5.1
1/10/2025 5:00,-4.95,83.5,4.45
1/10/2025 6:00,-4.65,83.5,4.45
1/10/2025 7:00,-4.4,84,4.5
1/10/2025 8:00,-4.3,85.5,4.5
1/10/2025 9:00,-4.25,85,4.55
1/10/2025 10:00,-4.25,85.5,4.6
1/10/2025 11:00,-3.95,85,4.6
1/10/2025 12:00,-3.7,84.5,4.65
1/10/2025 13:00,-3.65,84.5,4.65
1/10/2025 14:00,-2.95,85,4.65
1/10/2025 15:00,-2.45,87,4.7
1/10/2025 16:00,-1.65,89.5,4.7
1/10/2025 17:00,-0.65,89.5,4.75
1/10/2025 18:00,-0.6,89,4.75
1/10/2025 19:00,-0.45,87.5,4.75
1/10/2025 20:00,-0.15,86.5,4.75
1/10/2025 21:00,-0.3,88,4
1/10/2025 22:00,0.1,81,4
1/10/2025 23:00,-0.45,81,3.9
1/11/2025 0:00,-0.3,80,3.9
1/11/2025 1:00,-0.7,82.5,3.9
1/11/2025 2:00,-0.7,85.5,3.95
1/11/2025 3:00,-0.5,82.5,3.95
1/11/2025 4:00,-0.25,78.5,3.95
1/11/2025 5:00,-0.1,78.5,4
1/11/2025 6:00,-2,85,4
1/11/2025 7:00,-1.5,85,4
1/11/2025 8:00,-1.3,83,4
1/11/2025 9:00,-2.4,82,4
1/11/2025 10:00,-1.05,79,4.9
1/11/2025 11:00,-0.25,78.5,4.9
1/11/2025 12:00,-0.35,79.5,4.9
1/11/2025 13:00,-0.35,78.5,4.9
1/11/2025 14:00,-0.25,78.5,4.9
1/11/2025 15:00,-0.6,78,4.9
1/11/2025 16:00,0.5,79,5.8
1/11/2025 17:00,0.8,79,5.8
1/11/2025 18:00,0.75,86,6.25
1/11/2025 19:00,0.8,85,6.25
1/11/2025 20:00,0.55,85.5,6.25
1/11/2025 21:00,0.4,86.5,6.25
1/11/2025 22:00,0.5,86,6.25
1/11/2025 23:00,0.3,86,6.25
1/12/2025 0:00,-0.5,92,6.7
1/12/2025 1:00,0.2,91,6.7
1/12/2025 2:00,-0.1,92,6.7
1/12/2025 3:00,-3.7,85.5,6.25
1/12/2025 4:00,-3.25,83.5,6.25
1/12/2025 5:00,-3.1,84,6.25
1/12/2025 6:00,-2.5,83.5,6.25
1/12/2025 7:00,-1.85,82.5,6.25
1/12/2025 8:00,-1.2,81.5,6.25
1/12/2025 14:00,-1.2,75,5.8
1/12/2025 15:00,-1.1,77,5.8
1/12/2025 16:00,-1.5,78,5.8
1/12/2025 17:00,-1.5,77,5.8
1/12/2025 18:00,-1.2,75,5.8
1/12/2025 19:00,-0.4,74,5.8
1/12/2025 20:00,0.6,72,5.8
1/12/2025 21:00,1.15,75.5,6.35
1/12/2025 22:00,1.5,77.5,6.35
1/12/2025 23:00,1.85,75,6.35
1/13/2025 0:00,2.3,75.5,6.35
1/13/2025 1:00,3.5,71.5,6.35
1/13/2025 2:00,3.8,71,6.3
1/13/2025 3:00,3.95,71,6.3
1/13/2025 4:00,4.1,72.5,6.3
1/13/2025 5:00,4.4,74.5,6.3
1/13/2025 6:00,4.65,76,6.3
1/13/2025 7:00,4.9,77,6.3
1/13/2025 8:00,5.05,78.5,6.3
1/13/2025 9:00,6.5,69,6.8
1/13/2025 10:00,6.7,71,6.8
1/13/2025 11:00,6.9,73,6.8
1/13/2025 12:00,7.1,74,6.8
1/13/2025 13:00,8.1,74,6.8
1/13/2025 14:00,8.1,75,6.8
1/13/2025 15:00,7.9,75,6.8
1/13/2025 16:00,7.5,78,6.8
1/13/2025 17:00,6.9,81,6.8
1/13/2025 18:00,6.5,83,6.8
1/13/2025 19:00,6.8,83,6.8
1/13/2025 20:00,7.3,81,6.8
1/13/2025 21:00,6.6,84,5.75
1/13/2025 22:00,5.6,88,5.7
1/13/2025 23:00,6.6,83.5,5.7
1/14/2025 0:00,6.5,85,5.7
1/14/2025 1:00,6.85,91,5.65
1/14/2025 2:00,7.3,88.5,5.65
1/14/2025 3:00,6.75,88.5,5.6
1/14/2025 4:00,6.25,91,5.55
1/14/2025 5:00,5.75,94,5.55
1/14/2025 6:00,5.5,94.5,5.5
1/14/2025 7:00,5.3,94.5,5.5
1/14/2025 8:00,4.9,93.5,5.45
1/14/2025 9:00,4.6,94,5.5
1/14/2025 10:00,4.3,90,4.4
1/14/2025 11:00,4.2,92,4.4
1/14/2025 12:00,4.2,92,4.4
1/14/2025 13:00,4.5,96,4.4
1/14/2025 14:00,3.2,96.5,3.95
1/14/2025 15:00,2.8,94,3.9
1/14/2025 16:00,2.75,94.5,3.9
1/14/2025 17:00,2.85,96,3.85
1/14/2025 18:00,3.4,92,3.8
1/14/2025 19:00,3.5,91.5,3.75
1/14/2025 20:00,3.5,91.5,3.7
1/14/2025 21:00,3.25,91,3.7
1/14/2025 22:00,2.95,92.5,3.6
1/14/2025 23:00,3.15,91,3.6
1/15/2025 0:00,3.2,90,3.55
1/15/2025 1:00,3,85.5,3.5
1/15/2025 2:00,2.65,86,3.5
1/15/2025 3:00,2.95,83.5,3.45
1/15/2025 4:00,3.65,81.5,3.4
1/15/2025 5:00,4,88.5,3.4
1/15/2025 6:00,3.3,90.5,3.4
1/15/2025 7:00,3.75,86.5,3.4
1/15/2025 8:00,4,88.5,3.4
1/15/2025 9:00,5.15,91.5,3.35
1/15/2025 10:00,5.25,94,3.35
1/15/2025 11:00,4.95,95,3.3
1/15/2025 12:00,5.3,93.5,3.3
1/15/2025 13:00,7.7,99,2.8
1/15/2025 14:00,7.6,99,2.8
1/15/2025 15:00,7.5,99,2.8
1/15/2025 16:00,5.2,96.5,0.7
1/15/2025 17:00,5.3,96.5,0.65
1/15/2025 18:00,5.5,96.5,0.65
1/15/2025 19:00,5.85,96,0.65
1/15/2025 20:00,5.95,96.5,0.65
1/15/2025 21:00,6.1,94,0.65
1/15/2025 22:00,6.25,93.5,0.6
1/15/2025 23:00,6.3,93,0.6
1/16/2025 0:00,6.4,91,0.55
1/16/2025 1:00,6.25,89.5,0.55
